uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of peripheral nerves of thorax,,,,,,,,ICD10-BD,C47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of peripheral nerves of abdomen,,,,,,,,ICD10-BD,C47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of peripheral nerves of pelvis,,,,,,,,ICD10-BD,C47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peripheral nerves of trunk, unspecified",,,,,,,,ICD10-BD,C47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of peripheral nerves and autonomic nervous system,,,,,,,,ICD10-BD,C47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",,,,,,,,ICD10-BD,C47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of retroperitoneum and peritoneum,,,,,,,,ICD10-BD,C48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of retroperitoneum,,,,,,,,ICD10-BD,C48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of specified parts of peritoneum,,,,,,,,ICD10-BD,C48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peritoneum, unspecified",,,,,,,,ICD10-BD,C48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of retroperitoneum and peritoneum,,,,,,,,ICD10-BD,C48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other connective and soft tissue,,,,,,,,ICD10-BD,C49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of connective and soft tissue of head, face, and neck",,,,,,,,ICD10-BD,C49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",,,,,,,,ICD10-BD,C49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",,,,,,,,ICD10-BD,C49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of connective and soft tissue of thorax,,,,,,,,ICD10-BD,C49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of connective and soft tissue of abdomen,,,,,,,,ICD10-BD,C49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of connective and soft tissue of pelvis,,,,,,,,ICD10-BD,C49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",,,,,,,,ICD10-BD,C49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of connective and soft tissue,,,,,,,,ICD10-BD,C49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of connective and soft tissue, unspecified",,,,,,,,ICD10-BD,C49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of breast,,স্তন ক্যান্সার,,,,,,ICD10-BD,C50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of nipple and areola,,,,,,,,ICD10-BD,C50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of central portion of breast,,,,,,,,ICD10-BD,C50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of upper-inner quadrant of breast,,,,,,,,ICD10-BD,C50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lower-inner quadrant of breast,,,,,,,,ICD10-BD,C50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of upper-outer quadrant of breast,,,,,,,,ICD10-BD,C50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lower-outer quadrant of breast,,,,,,,,ICD10-BD,C50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of axillary tail of breast,,,,,,,,ICD10-BD,C50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of breast,,,,,,,,ICD10-BD,C50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of breast, unspecified",,,,,,,,ICD10-BD,C50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of vulva,,,,,,,,ICD10-BD,C51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of labium majus,,,,,,,,ICD10-BD,C51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of labium minus,,,,,,,,ICD10-BD,C51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of clitoris,,,,,,,,ICD10-BD,C51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of vulva,,,,,,,,ICD10-BD,C51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of vulva, unspecified",,,,,,,,ICD10-BD,C51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of vagina,,,,,,,,ICD10-BD,C52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cervix uteri,,জড়ায়ু মুখের ক্যান্সার,,,,,,ICD10-BD,C53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of endocervix,,,,,,,,ICD10-BD,C53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of exocervix,,,,,,,,ICD10-BD,C53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of cervix uteri,,,,,,,,ICD10-BD,C53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of cervix uteri, unspecified",,,,,,,,ICD10-BD,C53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of corpus uteri,,,,,,,,ICD10-BD,C54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of isthmus uteri,,,,,,,,ICD10-BD,C54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of endometrium,,,,,,,,ICD10-BD,C54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of myometrium,,,,,,,,ICD10-BD,C54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of fundus uteri,,,,,,,,ICD10-BD,C54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of corpus uteri,,,,,,,,ICD10-BD,C54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of corpus uteri, unspecified",,,,,,,,ICD10-BD,C54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of uterus, part unspecified",,,,,,,,ICD10-BD,C55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ovary,,ডিম্বাশয়ের ক্যান্সার,,,,,,ICD10-BD,C56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and unspecified female genital organs,,,,,,,,ICD10-BD,C57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of fallopian tube,,,,,,,,ICD10-BD,C57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of broad ligament,,,,,,,,ICD10-BD,C57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of round ligament,,,,,,,,ICD10-BD,C57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of parametrium,,,,,,,,ICD10-BD,C57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of uterine adnexa, unspecified",,,,,,,,ICD10-BD,C57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other specified female genital organs,,,,,,,,ICD10-BD,C57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of female genital organs,,,,,,,,ICD10-BD,C57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of female genital organ, unspecified",,,,,,,,ICD10-BD,C57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of placenta,,,,,,,,ICD10-BD,C58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of penis,,,,,,,,ICD10-BD,C60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of prepuce,,,,,,,,ICD10-BD,C60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of glans penis,,,,,,,,ICD10-BD,C60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of body of penis,,,,,,,,ICD10-BD,C60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of penis,,,,,,,,ICD10-BD,C60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of penis, unspecified",,,,,,,,ICD10-BD,C60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of prostate,,,,,,,,ICD10-BD,C61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of testis,,,,,,,,ICD10-BD,C62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of undescended testis,,,,,,,,ICD10-BD,C62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of descended testis,,,,,,,,ICD10-BD,C62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of testis, unspecified",,,,,,,,ICD10-BD,C62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and unspecified male genital organs,,,,,,,,ICD10-BD,C63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of epididymis,,,,,,,,ICD10-BD,C63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of spermatic cord,,,,,,,,ICD10-BD,C63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of scrotum,,,,,,,,ICD10-BD,C63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other specified male genital organs,,,,,,,,ICD10-BD,C63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of male genital organs,,,,,,,,ICD10-BD,C63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of male genital organ, unspecified",,,,,,,,ICD10-BD,C63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of kidney, except renal pelvis",,,,,,,,ICD10-BD,C64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of renal pelvis,,,,,,,,ICD10-BD,C65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ureter,,,,,,,,ICD10-BD,C66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bladder,,মুত্রথলির ক্যান্সার,,,,,,ICD10-BD,C67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trigone of bladder,,,,,,,,ICD10-BD,C67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of dome of bladder,,,,,,,,ICD10-BD,C67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lateral wall of bladder,,,,,,,,ICD10-BD,C67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anterior wall of bladder,,,,,,,,ICD10-BD,C67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of posterior wall of bladder,,,,,,,,ICD10-BD,C67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bladder neck,,,,,,,,ICD10-BD,C67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ureteric orifice,,,,,,,,ICD10-BD,C67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of urachus,,,,,,,,ICD10-BD,C67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of bladder,,,,,,,,ICD10-BD,C67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of bladder, unspecified",,,,,,,,ICD10-BD,C67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and unspecified urinary organs,,,,,,,,ICD10-BD,C68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of urethra,,,,,,,,ICD10-BD,C68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of paraurethral glands,,,,,,,,ICD10-BD,C68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of urinary organs,,,,,,,,ICD10-BD,C68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of urinary organ, unspecified",,,,,,,,ICD10-BD,C68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of eye and adnexa,,,,,,,,ICD10-BD,C69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of conjunctiva,,,,,,,,ICD10-BD,C69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cornea,,,,,,,,ICD10-BD,C69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of retina,,,,,,,,ICD10-BD,C69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of choroid,,,,,,,,ICD10-BD,C69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ciliary body,,,,,,,,ICD10-BD,C69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lacrimal gland and duct,,,,,,,,ICD10-BD,C69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of orbit,,,,,,,,ICD10-BD,C69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of eye and adnexa,,,,,,,,ICD10-BD,C69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of eye, unspecified",,,,,,,,ICD10-BD,C69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of meninges,,,,,,,,ICD10-BD,C70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cerebral meninges,,,,,,,,ICD10-BD,C70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of spinal meninges,,,,,,,,ICD10-BD,C70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of meninges, unspecified",,,,,,,,ICD10-BD,C70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of brain,,মস্তিষ্কের ক্যান্সার,,,,,,ICD10-BD,C71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of cerebrum, except lobes and ventricles",,,,,,,,ICD10-BD,C71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of frontal lobe,,,,,,,,ICD10-BD,C71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of temporal lobe,,,,,,,,ICD10-BD,C71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of parietal lobe,,,,,,,,ICD10-BD,C71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of occipital lobe,,,,,,,,ICD10-BD,C71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cerebral ventricle,,,,,,,,ICD10-BD,C71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cerebellum,,,,,,,,ICD10-BD,C71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of brain stem,,,,,,,,ICD10-BD,C71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of brain,,,,,,,,ICD10-BD,C71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of brain, unspecified",,,,,,,,ICD10-BD,C71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of central nervous system",,,,,,,,ICD10-BD,C72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of spinal cord,,,,,,,,ICD10-BD,C72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cauda equina,,,,,,,,ICD10-BD,C72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of olfactory nerve,,,,,,,,ICD10-BD,C72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of optic nerve,,,,,,,,ICD10-BD,C72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of acoustic nerve,,,,,,,,ICD10-BD,C72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and unspecified cranial nerves,,,,,,,,ICD10-BD,C72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of brain and other parts of central nervous system,,,,,,,,ICD10-BD,C72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of central nervous system, unspecified",,,,,,,,ICD10-BD,C72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of thyroid gland,,থাইরয়েড ক্যান্সার,,,,,,ICD10-BD,C73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of adrenal gland,,,,,,,,ICD10-BD,C74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cortex of adrenal gland,,,,,,,,ICD10-BD,C74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of medulla of adrenal gland,,,,,,,,ICD10-BD,C74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of adrenal gland, unspecified",,,,,,,,ICD10-BD,C74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other endocrine glands and related structures,,,,,,,,ICD10-BD,C75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of parathyroid gland,,,,,,,,ICD10-BD,C75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pituitary gland,,,,,,,,ICD10-BD,C75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of craniopharyngeal duct,,,,,,,,ICD10-BD,C75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pineal gland,,,,,,,,ICD10-BD,C75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of carotid body,,,,,,,,ICD10-BD,C75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of aortic body and other paraganglia,,,,,,,,ICD10-BD,C75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of pluriglandular involvement, unspecified",,,,,,,,ICD10-BD,C75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of endocrine gland, unspecified",,,,,,,,ICD10-BD,C75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and ill‑defined sites,,,,,,,,ICD10-BD,C76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of head, face, and neck",,,,,,,,ICD10-BD,C76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of thorax,,,,,,,,ICD10-BD,C76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of abdomen,,,,,,,,ICD10-BD,C76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pelvis,,,,,,,,ICD10-BD,C76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of upper limb,,,,,,,,ICD10-BD,C76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lower limb,,,,,,,,ICD10-BD,C76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other ill‑defined sites,,,,,,,,ICD10-BD,C76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of other and ill‑defined sites,,,,,,,,ICD10-BD,C76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary and unspecified malignant neoplasm of lymph nodes,,,,,,,,ICD10-BD,C77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of lymph nodes of head, face, and neck",,,,,,,,ICD10-BD,C77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of intrathoracic lymph nodes,,,,,,,,ICD10-BD,C77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of intra-abdominal lymph nodes,,,,,,,,ICD10-BD,C77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of axillary and upper limb lymph nodes,,,,,,,,ICD10-BD,C77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of inguinal and lower limb lymph nodes,,,,,,,,ICD10-BD,C77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of intrapelvic lymph nodes,,,,,,,,ICD10-BD,C77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lymph nodes of multiple regions,,,,,,,,ICD10-BD,C77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of lymph node, unspecified",,,,,,,,ICD10-BD,C77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of respiratory and digestive organs,,,,,,,,ICD10-BD,C78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of lung,,,,,,,,ICD10-BD,C78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of mediastinum,,,,,,,,ICD10-BD,C78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of pleura,,,,,,,,ICD10-BD,C78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of other and unspecified respiratory organs,,,,,,,,ICD10-BD,C78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of small intestine,,,,,,,,ICD10-BD,C78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of large intestine and rectum,,,,,,,,ICD10-BD,C78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of retroperitoneum and peritoneum,,,,,,,,ICD10-BD,C78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of liver,,,,,,,,ICD10-BD,C78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of other and unspecified digestive organs,,,,,,,,ICD10-BD,C78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of other sites,,,,,,,,ICD10-BD,C79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of kidney and renal pelvis,,,,,,,,ICD10-BD,C79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,,,,,,,,ICD10-BD,C79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of skin,,,,,,,,ICD10-BD,C79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of brain and cerebral meninges,,,,,,,,ICD10-BD,C79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of other and unspecified parts of nervous system,,,,,,,,ICD10-BD,C79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of bone and bone marrow,,,,,,,,ICD10-BD,C79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of ovary,,,,,,,,ICD10-BD,C79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of adrenal gland,,,,,,,,ICD10-BD,C79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary malignant neoplasm of other specified sites,,,,,,,,ICD10-BD,C79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm without specification of site,,,,,,,,ICD10-BD,C80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hodgkin's disease,,,,,,,,ICD10-BD,C81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hodgkin's lymphocytic predominance,,,,,,,,ICD10-BD,C81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hodgkin's nodular sclerosis,,,,,,,,ICD10-BD,C81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hodgkin's mixed cellularity,,,,,,,,ICD10-BD,C81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
